Category,Dish,Instructions
Breakfast & Baked Goods,"Cinnamon Toast Crunch Granola with Oats, Almonds, Walnuts, Pumpkin Seeds, Sunflower Seeds, Vanilla, Unsweetened Coconut, Cinnamon, Peanut Butter & Maple Syrup","Serve at room temperature — no heating needed. Store in an airtight container. Best within 2 weeks. Can be frozen up to 2 months. Enjoy over yogurt, with milk, or straight from the jar."
Breakfast & Baked Goods,"GF Apple Cinnamon Crumb Muffins with Applesauce, Eggs, Vanilla, Cinnamon, Brown Sugar, GF Flour & Butter","Enjoy at room temperature. To warm, preheat oven to 300°F, place on a sheet tray, cover loosely with foil, and warm for 5–6 minutes. Best within 4–5 days. Can be frozen up to 1 month."
Breakfast & Baked Goods,"Peanut Butter Breakfast Cookies with Peanut Butter, Brown Sugar, Coconut Oil, Egg, Vanilla, Ground Flaxseed, Oats, Flour & Chocolate Chips","Enjoy at room temperature straight from the container. To warm, preheat oven to 300°F, place on a sheet tray, cover loosely with foil, and warm for 4–5 minutes. Best within 5–6 days. Can be frozen up to 1 month."
Breakfast & Baked Goods,"Egg Muffin Cups with Ham, Spinach, Scallions & Cheddar","Preheat oven to 325°F. Place on a sheet tray, cover loosely with foil, and warm for 8–10 minutes until heated through. Best within 4–5 days. Can be frozen up to 1 month."
Dips,"Cilantro Pistachio Hummus with Chickpeas, Cilantro, Pistachios, Lime, Jalapeños, Tahini, Parmesan & Olive Oil",Serve cold or at room temperature — no heating needed. Stir well before serving. Best within 5–6 days.
Dips,"Buttermilk Ranch Dip with Sour Cream, Buttermilk, Mayo, Garlic, Dill, Chives & Lemon",Serve cold — no heating needed. Stir well before serving. Best within 4–5 days.
Soups — Stovetop,"Charred Corn & Jalapeño Chicken Chowder with Roasted Corn, Paprika, Cumin, Poblano Pepper, Jalapeño, Golden Potatoes, Onion, Garlic, Oregano, Cream, Lime, Cilantro, Monterey Jack Cheese & Blackened Chicken","Pour into a saucepan over medium heat. Warm for 8–10 minutes, stirring occasionally, until hot throughout. Reduce to low and simmer gently if not serving immediately. Add a splash of broth or water if the soup has thickened. Best within 4–5 days."
Soups — Stovetop,Greek Chicken & Orzo Soup,"Pour into a saucepan over medium heat. Warm for 8–10 minutes, stirring occasionally, until hot throughout. Reduce to low and simmer gently if not serving immediately. Add a splash of broth or water if the soup has thickened. Best within 4–5 days."
Soups — Stovetop,"Roasted Red Pepper Soup with Garlic, Red Peppers, Carrots, Cauliflower, Tomatoes, Onion, Olive Oil, Smoked Paprika, Cumin & Lemon","Pour into a saucepan over medium heat. Warm for 8–10 minutes, stirring occasionally, until hot throughout. Reduce to low and simmer gently if not serving immediately. Add a splash of broth or water if the soup has thickened. Serve croutons on the side to keep them crispy. Best within 4–5 days."
Kids / Comfort Foods,Pepperoni & Mozzarella Hot Pockets,"Preheat oven to 375°F. Place on a sheet tray uncovered and warm for 10–12 minutes, flipping once halfway, until heated through and the pastry is golden and crispy. Best within 3–4 days. Can be frozen up to 1 month — add 3–5 minutes if warming from frozen."
