Category,Item,Description,Allergens
Breakfast & Baked Goods,GF High Protein Blueberry Muffins,"Banana, olive oil, eggs, coconut sugar, cottage cheese, vanilla, hempseeds, cinnamon & fresh blueberries","Eggs, Dairy"
Breakfast & Baked Goods,Egg Muffin Cups,"Asparagus, sun-dried tomato, onion & goat cheese","Eggs, Dairy"
Breakfast & Baked Goods,GF Cowboy Cookies,"Toasted coconut, chocolate chips, oats, pecans, coconut oil & brown sugar","Tree Nuts"
Dips,Roasted Sweet Potato Hummus,,
Soups,Nourishing White Bean & Lemon Soup,"Onions, carrots, garlic, cannellini beans, chickpeas, rosemary, escarole, lemon & Parmesan","Dairy"
Soups,Greek Lemon Chicken Soup,,
Kids/Comfort Foods,Ground Beef Taco Pasta,"Cheddar cheese, served with green beans","Dairy, Gluten"
Lunch Bowls & Salads,Greek Shrimp & Zucchini Bowl,"Parsley, garlic, oregano, paprika, shrimp, zucchini, bell peppers, olives, rice & lemon garlic yogurt","Shellfish, Dairy"
Lunch Bowls & Salads,Grilled Chicken Orzo Salad,"Cilantro jalapeño vinaigrette, grilled corn, red onion, cilantro, avocado, garlic & smoked paprika","Gluten"
Lunch Bowls & Salads,Broccoli Cheddar Quinoa Salad,"Honeycrisp apples, almonds, dates & honey mustard dressing","Dairy, Tree Nuts"
Main Dishes,Grilled Balsamic Chicken Thighs,"Over tomato bruschetta pasta & grilled asparagus","Gluten"
Main Dishes,Summer Pasta Primavera,"Yellow squash, zucchini, asparagus, cherry tomatoes, olive oil, garlic, parmesan & basil","Gluten, Dairy"
Main Dishes,Pan Roasted White Fish,"Red pepper & olive relish over herbed black lentils & green beans","Fish"
Main Dishes,Moroccan Lamb Meatballs,"Couscous, shredded red cabbage, carrot & mint salad & mint yogurt sauce","Gluten, Dairy"
